variableMetadata	accession	description	uniprot_id
P48776_Tryptophan 2,3-dioxygena.	sp|P48776|T23O_MOUSE	Tryptophan 2,3-dioxygenase  OS=Mus musculus (Mouse) GN=Tdo2 PE=1 SV=2	P48776
P28352_DNA-(apurinic or apyrimi.	sp|P28352|APEX1_MOUSE	DNA-(apurinic or apyrimidinic site) lyase  OS=Mus musculus (Mouse) GN=Apex1 PE=1 SV=2	P28352
P22315_Ferrochelatase, mitochon.	sp|P22315|HEMH_MOUSE	Ferrochelatase, mitochondrial  OS=Mus musculus (Mouse) GN=Fech PE=1 SV=2	P22315
Q91VR5_ATP-dependent RNA helica.	sp|Q91VR5|DDX1_MOUSE	ATP-dependent RNA helicase DDX1  OS=Mus musculus (Mouse) GN=Ddx1 PE=1 SV=1	Q91VR5
Q99PT1_Rho GDP-dissociation inh.	sp|Q99PT1|GDIR1_MOUSE	Rho GDP-dissociation inhibitor 1  OS=Mus musculus (Mouse) GN=Arhgdia PE=1 SV=3	Q99PT1
Q99MN1_Lysine--tRNA ligase	sp|Q99MN1|SYK_MOUSE	Lysine--tRNA ligase  OS=Mus musculus (Mouse) GN=Kars PE=1 SV=1	Q99MN1
P42925_Peroxisomal membrane pro.	sp|P42925|PXMP2_MOUSE	Peroxisomal membrane protein 2  OS=Mus musculus (Mouse) GN=Pxmp2 PE=1 SV=2	P42925
Q9D9V3_Ethylmalonyl-CoA decarbo.	sp|Q9D9V3|ECHD1_MOUSE	Ethylmalonyl-CoA decarboxylase  OS=Mus musculus (Mouse) GN=Echdc1 PE=1 SV=2	Q9D9V3
Q9QYF1_Retinol dehydrogenase 11	sp|Q9QYF1|RDH11_MOUSE	Retinol dehydrogenase 11  OS=Mus musculus (Mouse) GN=Rdh11 PE=1 SV=2	Q9QYF1
P85094_Isochorismatase domain-c.	sp|P85094|ISC2A_MOUSE	Isochorismatase domain-containing protein 2A  OS=Mus musculus (Mouse) GN=Isoc2a PE=1 SV=1	P85094
Q9D1D4_Transmembrane emp24 doma.	sp|Q9D1D4|TMEDA_MOUSE	Transmembrane emp24 domain-containing protein 10  OS=Mus musculus (Mouse) GN=Tmed10 PE=1 SV=1	Q9D1D4
P62983_Ubiquitin-40S ribosomal .	sp|P62983|RS27A_MOUSE	Ubiquitin-40S ribosomal protein S27a  OS=Mus musculus (Mouse) GN=Rps27a PE=1 SV=2	P62983
Q62087_Serum paraoxonase/lacton.	sp|Q62087|PON3_MOUSE	Serum paraoxonase/lactonase 3  OS=Mus musculus (Mouse) GN=Pon3 PE=1 SV=2	Q62087
P14685_26S proteasome non-ATPas.	sp|P14685|PSMD3_MOUSE	26S proteasome non-ATPase regulatory subunit 3  OS=Mus musculus (Mouse) GN=Psmd3 PE=1 SV=3	P14685
Q6ZWX6_Eukaryotic translation i.	sp|Q6ZWX6|IF2A_MOUSE	Eukaryotic translation initiation factor 2 subunit 1  OS=Mus musculus (Mouse) GN=Eif2s1 PE=1 SV=3	Q6ZWX6
Q8JZU2_Tricarboxylate transport.	sp|Q8JZU2|TXTP_MOUSE	Tricarboxylate transport protein, mitochondrial  OS=Mus musculus (Mouse) GN=Slc25a1 PE=1 SV=1	Q8JZU2
O35660_Glutathione S-transferas.	sp|O35660|GSTM6_MOUSE	Glutathione S-transferase Mu 6  OS=Mus musculus (Mouse) GN=Gstm6 PE=1 SV=4	O35660
Q91VT4_Carbonyl reductase famil.	sp|Q91VT4|CBR4_MOUSE	Carbonyl reductase family member 4  OS=Mus musculus (Mouse) GN=Cbr4 PE=1 SV=2	Q91VT4
Q8VEM8_Phosphate carrier protei.	sp|Q8VEM8|MPCP_MOUSE	Phosphate carrier protein, mitochondrial  OS=Mus musculus (Mouse) GN=Slc25a3 PE=1 SV=1	Q8VEM8
Q91YR1_Twinfilin-1	sp|Q91YR1|TWF1_MOUSE	Twinfilin-1  OS=Mus musculus (Mouse) GN=Twf1 PE=1 SV=2	Q91YR1
P62806_Histone H4	sp|P62806|H4_MOUSE	Histone H4  OS=Mus musculus (Mouse) GN=Hist1h4a PE=1 SV=2	P62806
Q9D0E1_Heterogeneous nuclear ri.	sp|Q9D0E1|HNRPM_MOUSE	Heterogeneous nuclear ribonucleoprotein M  OS=Mus musculus (Mouse) GN=Hnrnpm PE=1 SV=3	Q9D0E1
Q8C165_N-fatty-acyl-amino acid .	sp|Q8C165|P20D1_MOUSE	N-fatty-acyl-amino acid synthase/hydrolase PM20D1  OS=Mus musculus (Mouse) GN=Pm20d1 PE=1 SV=1	Q8C165
P47757_F-actin-capping protein .	sp|P47757|CAPZB_MOUSE	F-actin-capping protein subunit beta  OS=Mus musculus (Mouse) GN=Capzb PE=1 SV=3	P47757
O09172_Glutamate--cysteine liga.	sp|O09172|GSH0_MOUSE	Glutamate--cysteine ligase regulatory subunit  OS=Mus musculus (Mouse) GN=Gclm PE=1 SV=1	O09172
Q9JHS4_ATP-dependent Clp protea.	sp|Q9JHS4|CLPX_MOUSE	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial  OS=Mus musculus (Mouse) GN=Clpx PE=1 SV=2	Q9JHS4
P04939_Major urinary protein 3	sp|P04939|MUP3_MOUSE	Major urinary protein 3  OS=Mus musculus (Mouse) GN=Mup3 PE=1 SV=1	P04939
Q9QYB1_Chloride intracellular c.	sp|Q9QYB1|CLIC4_MOUSE	Chloride intracellular channel protein 4  OS=Mus musculus (Mouse) GN=Clic4 PE=1 SV=3	Q9QYB1
Q02248_Catenin beta-1	sp|Q02248|CTNB1_MOUSE	Catenin beta-1  OS=Mus musculus (Mouse) GN=Ctnnb1 PE=1 SV=1	Q02248
Q91WQ3_Tyrosine--tRNA ligase, c.	sp|Q91WQ3|SYYC_MOUSE	Tyrosine--tRNA ligase, cytoplasmic  OS=Mus musculus (Mouse) GN=Yars PE=1 SV=3	Q91WQ3
Q8VCR7_Protein ABHD14B	sp|Q8VCR7|ABHEB_MOUSE	Protein ABHD14B  OS=Mus musculus (Mouse) GN=Abhd14b PE=1 SV=1	Q8VCR7
P0DP26_Calmodulin-1	sp|P0DP26|CALM1_MOUSE	Calmodulin-1  OS=Mus musculus (Mouse) GN=Calm1 PE=1 SV=1	P0DP26
Q8C0C7_Phenylalanine--tRNA liga.	sp|Q8C0C7|SYFA_MOUSE	Phenylalanine--tRNA ligase alpha subunit  OS=Mus musculus (Mouse) GN=Farsa PE=1 SV=1	Q8C0C7
P19783_Cytochrome c oxidase sub.	sp|P19783|COX41_MOUSE	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial  OS=Mus musculus (Mouse) GN=Cox4i1 PE=1 SV=2	P19783
P34927_Asialoglycoprotein recep.	sp|P34927|ASGR1_MOUSE	Asialoglycoprotein receptor 1  OS=Mus musculus (Mouse) GN=Asgr1 PE=1 SV=4	P34927
Q9CPV4_Glyoxalase domain-contai.	sp|Q9CPV4|GLOD4_MOUSE	Glyoxalase domain-containing protein 4  OS=Mus musculus (Mouse) GN=Glod4 PE=1 SV=1	Q9CPV4
P70441_Na(+)/H(+) exchange regu.	sp|P70441|NHRF1_MOUSE	Na(+)/H(+) exchange regulatory cofactor NHE-RF1  OS=Mus musculus (Mouse) GN=Slc9a3r1 PE=1 SV=3	P70441
P35293_Ras-related protein Rab-.	sp|P35293|RAB18_MOUSE	Ras-related protein Rab-18  OS=Mus musculus (Mouse) GN=Rab18 PE=1 SV=2	P35293
P70699_Lysosomal alpha-glucosid.	sp|P70699|LYAG_MOUSE	Lysosomal alpha-glucosidase  OS=Mus musculus (Mouse) GN=Gaa PE=1 SV=2	P70699
P56399_Ubiquitin carboxyl-termi.	sp|P56399|UBP5_MOUSE	Ubiquitin carboxyl-terminal hydrolase 5  OS=Mus musculus (Mouse) GN=Usp5 PE=1 SV=1	P56399
P62754_40S ribosomal protein S6	sp|P62754|RS6_MOUSE	40S ribosomal protein S6  OS=Mus musculus (Mouse) GN=Rps6 PE=1 SV=1	P62754
P61161_Actin-related protein 2	sp|P61161|ARP2_MOUSE	Actin-related protein 2  OS=Mus musculus (Mouse) GN=Actr2 PE=1 SV=1	P61161
O88962_7-alpha-hydroxycholest-4.	sp|O88962|CP8B1_MOUSE	7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase  OS=Mus musculus (Mouse) GN=Cyp8b1 PE=1 SV=1	O88962
P62827_GTP-binding nuclear prot.	sp|P62827|RAN_MOUSE	GTP-binding nuclear protein Ran  OS=Mus musculus (Mouse) GN=Ran PE=1 SV=3	P62827
Q9Z2M7_Phosphomannomutase 2	sp|Q9Z2M7|PMM2_MOUSE	Phosphomannomutase 2  OS=Mus musculus (Mouse) GN=Pmm2 PE=1 SV=1	Q9Z2M7
P62918_60S ribosomal protein L8	sp|P62918|RL8_MOUSE	60S ribosomal protein L8  OS=Mus musculus (Mouse) GN=Rpl8 PE=1 SV=2	P62918
Q91XE4_N-acyl-aromatic-L-amino .	sp|Q91XE4|ACY3_MOUSE	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)  OS=Mus musculus (Mouse) GN=Acy3 PE=1 SV=1	Q91XE4
Q9D0S9_Histidine triad nucleoti.	sp|Q9D0S9|HINT2_MOUSE	Histidine triad nucleotide-binding protein 2, mitochondrial  OS=Mus musculus (Mouse) GN=Hint2 PE=1 SV=1	Q9D0S9
P62814_V-type proton ATPase sub.	sp|P62814|VATB2_MOUSE	V-type proton ATPase subunit B, brain isoform  OS=Mus musculus (Mouse) GN=Atp6v1b2 PE=1 SV=1	P62814
Q9CZM2_60S ribosomal protein L15	sp|Q9CZM2|RL15_MOUSE	60S ribosomal protein L15  OS=Mus musculus (Mouse) GN=Rpl15 PE=1 SV=4	Q9CZM2
P45591_Cofilin-2	sp|P45591|COF2_MOUSE	Cofilin-2  OS=Mus musculus (Mouse) GN=Cfl2 PE=1 SV=1	P45591
Q8R0N6_Hydroxyacid-oxoacid tran.	sp|Q8R0N6|HOT_MOUSE	Hydroxyacid-oxoacid transhydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Adhfe1 PE=1 SV=2	Q8R0N6
Q8K370_Acyl-CoA dehydrogenase f.	sp|Q8K370|ACD10_MOUSE	Acyl-CoA dehydrogenase family member 10  OS=Mus musculus (Mouse) GN=Acad10 PE=1 SV=1	Q8K370
P97823_Acyl-protein thioesteras.	sp|P97823|LYPA1_MOUSE	Acyl-protein thioesterase 1  OS=Mus musculus (Mouse) GN=Lypla1 PE=1 SV=1	P97823
Q8BML9_Glutamine--tRNA ligase	sp|Q8BML9|SYQ_MOUSE	Glutamine--tRNA ligase  OS=Mus musculus (Mouse) GN=Qars PE=1 SV=1	Q8BML9
Q62425_Cytochrome c oxidase sub.	sp|Q62425|NDUA4_MOUSE	Cytochrome c oxidase subunit NDUFA4  OS=Mus musculus (Mouse) GN=Ndufa4 PE=1 SV=2	Q62425
P62281_40S ribosomal protein S11	sp|P62281|RS11_MOUSE	40S ribosomal protein S11  OS=Mus musculus (Mouse) GN=Rps11 PE=1 SV=3	P62281
Q9DCS3_Enoyl-[acyl-carrier-prot.	sp|Q9DCS3|MECR_MOUSE	Enoyl-[acyl-carrier-protein] reductase, mitochondrial  OS=Mus musculus (Mouse) GN=Mecr PE=1 SV=2	Q9DCS3
Q8BTY1_Kynurenine--oxoglutarate.	sp|Q8BTY1|KAT1_MOUSE	Kynurenine--oxoglutarate transaminase 1  OS=Mus musculus (Mouse) GN=Kyat1 PE=1 SV=1	Q8BTY1
P01901_H-2 class I histocompati.	sp|P01901|HA1B_MOUSE	H-2 class I histocompatibility antigen, K-B alpha chain  OS=Mus musculus (Mouse) GN=H2-K1 PE=1 SV=1	P01901
Q8VCT3_Aminopeptidase B	sp|Q8VCT3|AMPB_MOUSE	Aminopeptidase B  OS=Mus musculus (Mouse) GN=Rnpep PE=1 SV=2	Q8VCT3
Q9WV54_Acid ceramidase	sp|Q9WV54|ASAH1_MOUSE	Acid ceramidase  OS=Mus musculus (Mouse) GN=Asah1 PE=1 SV=1	Q9WV54
Q93092_Transaldolase	sp|Q93092|TALDO_MOUSE	Transaldolase  OS=Mus musculus (Mouse) GN=Taldo1 PE=1 SV=2	Q93092
Q3U1J4_DNA damage-binding prote.	sp|Q3U1J4|DDB1_MOUSE	DNA damage-binding protein 1  OS=Mus musculus (Mouse) GN=Ddb1 PE=1 SV=2	Q3U1J4
Q91YP3_Deoxyribose-phosphate al.	sp|Q91YP3|DEOC_MOUSE	Deoxyribose-phosphate aldolase  OS=Mus musculus (Mouse) GN=Dera PE=1 SV=1	Q91YP3
P46978_Dolichyl-diphosphooligos.	sp|P46978|STT3A_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A  OS=Mus musculus (Mouse) GN=Stt3a PE=1 SV=1	P46978
O70310_Glycylpeptide N-tetradec.	sp|O70310|NMT1_MOUSE	Glycylpeptide N-tetradecanoyltransferase 1  OS=Mus musculus (Mouse) GN=Nmt1 PE=1 SV=1	O70310
O55137_Acyl-coenzyme A thioeste.	sp|O55137|ACOT1_MOUSE	Acyl-coenzyme A thioesterase 1  OS=Mus musculus (Mouse) GN=Acot1 PE=1 SV=1	O55137
Q9CR68_Cytochrome b-c1 complex .	sp|Q9CR68|UCRI_MOUSE	Cytochrome b-c1 complex subunit Rieske, mitochondrial  OS=Mus musculus (Mouse) GN=Uqcrfs1 PE=1 SV=1	Q9CR68
O70435_Proteasome subunit alpha.	sp|O70435|PSA3_MOUSE	Proteasome subunit alpha type-3  OS=Mus musculus (Mouse) GN=Psma3 PE=1 SV=3	O70435
Q7TQI3_Ubiquitin thioesterase O.	sp|Q7TQI3|OTUB1_MOUSE	Ubiquitin thioesterase OTUB1  OS=Mus musculus (Mouse) GN=Otub1 PE=1 SV=2	Q7TQI3
P56395_Cytochrome b5	sp|P56395|CYB5_MOUSE	Cytochrome b5  OS=Mus musculus (Mouse) GN=Cyb5a PE=1 SV=2	P56395
P62960_Nuclease-sensitive eleme.	sp|P62960|YBOX1_MOUSE	Nuclease-sensitive element-binding protein 1  OS=Mus musculus (Mouse) GN=Ybx1 PE=1 SV=3	P62960
Q9QZD9_Eukaryotic translation i.	sp|Q9QZD9|EIF3I_MOUSE	Eukaryotic translation initiation factor 3 subunit I  OS=Mus musculus (Mouse) GN=Eif3i PE=1 SV=1	Q9QZD9
Q9JMA1_Ubiquitin carboxyl-termi.	sp|Q9JMA1|UBP14_MOUSE	Ubiquitin carboxyl-terminal hydrolase 14  OS=Mus musculus (Mouse) GN=Usp14 PE=1 SV=3	Q9JMA1
P63323_40S ribosomal protein S12	sp|P63323|RS12_MOUSE	40S ribosomal protein S12  OS=Mus musculus (Mouse) GN=Rps12 PE=1 SV=2	P63323
Q8K0D5_Elongation factor G, mit.	sp|Q8K0D5|EFGM_MOUSE	Elongation factor G, mitochondrial  OS=Mus musculus (Mouse) GN=Gfm1 PE=1 SV=1	Q8K0D5
Q8K183_Pyridoxal kinase	sp|Q8K183|PDXK_MOUSE	Pyridoxal kinase  OS=Mus musculus (Mouse) GN=Pdxk PE=1 SV=1	Q8K183
P99027_60S acidic ribosomal pro.	sp|P99027|RLA2_MOUSE	60S acidic ribosomal protein P2  OS=Mus musculus (Mouse) GN=Rplp2 PE=1 SV=3	P99027
Q3UPH1_Protein PRRC1	sp|Q3UPH1|PRRC1_MOUSE	Protein PRRC1  OS=Mus musculus (Mouse) GN=Prrc1 PE=1 SV=1	Q3UPH1
Q501J6_Probable ATP-dependent R.	sp|Q501J6|DDX17_MOUSE	Probable ATP-dependent RNA helicase DDX17  OS=Mus musculus (Mouse) GN=Ddx17 PE=1 SV=1	Q501J6
P62843_40S ribosomal protein S15	sp|P62843|RS15_MOUSE	40S ribosomal protein S15  OS=Mus musculus (Mouse) GN=Rps15 PE=1 SV=2	P62843
Q9Z204_Heterogeneous nuclear ri.	sp|Q9Z204|HNRPC_MOUSE	Heterogeneous nuclear ribonucleoproteins C1/C2  OS=Mus musculus (Mouse) GN=Hnrnpc PE=1 SV=1	Q9Z204
P70349_Histidine triad nucleoti.	sp|P70349|HINT1_MOUSE	Histidine triad nucleotide-binding protein 1  OS=Mus musculus (Mouse) GN=Hint1 PE=1 SV=3	P70349
Q9CYW4_Haloacid dehalogenase-li.	sp|Q9CYW4|HDHD3_MOUSE	Haloacid dehalogenase-like hydrolase domain-containing protein 3  OS=Mus musculus (Mouse) GN=Hdhd3 PE=1 SV=1	Q9CYW4
Q99KC8_von Willebrand factor A .	sp|Q99KC8|VMA5A_MOUSE	von Willebrand factor A domain-containing protein 5A  OS=Mus musculus (Mouse) GN=Vwa5a PE=1 SV=2	Q99KC8
Q7TNP2_Serine/threonine-protein.	sp|Q7TNP2|2AAB_MOUSE	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform  OS=Mus musculus (Mouse) GN=Ppp2r1b PE=1 SV=2	Q7TNP2
P62880_Guanine nucleotide-bindi.	sp|P62880|GBB2_MOUSE	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2  OS=Mus musculus (Mouse) GN=Gnb2 PE=1 SV=3	P62880
Q9JHU4_Cytoplasmic dynein 1 hea.	sp|Q9JHU4|DYHC1_MOUSE	Cytoplasmic dynein 1 heavy chain 1  OS=Mus musculus (Mouse) GN=Dync1h1 PE=1 SV=2	Q9JHU4
P99026_Proteasome subunit beta .	sp|P99026|PSB4_MOUSE	Proteasome subunit beta type-4  OS=Mus musculus (Mouse) GN=Psmb4 PE=1 SV=1	P99026
Q9CXW4_60S ribosomal protein L11	sp|Q9CXW4|RL11_MOUSE	60S ribosomal protein L11  OS=Mus musculus (Mouse) GN=Rpl11 PE=1 SV=4	Q9CXW4
Q9WVJ3_Carboxypeptidase Q	sp|Q9WVJ3|CBPQ_MOUSE	Carboxypeptidase Q  OS=Mus musculus (Mouse) GN=Cpq PE=1 SV=1	Q9WVJ3
Q9QUI0_Transforming protein RhoA	sp|Q9QUI0|RHOA_MOUSE	Transforming protein RhoA  OS=Mus musculus (Mouse) GN=Rhoa PE=1 SV=1	Q9QUI0
Q8K1M6_Dynamin-1-like protein	sp|Q8K1M6|DNM1L_MOUSE	Dynamin-1-like protein  OS=Mus musculus (Mouse) GN=Dnm1l PE=1 SV=2	Q8K1M6
P53026_60S ribosomal protein L1.	sp|P53026|RL10A_MOUSE	60S ribosomal protein L10a  OS=Mus musculus (Mouse) GN=Rpl10a PE=1 SV=3	P53026
Q9DCH4_Eukaryotic translation i.	sp|Q9DCH4|EIF3F_MOUSE	Eukaryotic translation initiation factor 3 subunit F  OS=Mus musculus (Mouse) GN=Eif3f PE=1 SV=2	Q9DCH4
P62897_Cytochrome c, somatic	sp|P62897|CYC_MOUSE	Cytochrome c, somatic  OS=Mus musculus (Mouse) GN=Cycs PE=1 SV=2	P62897
P58044_Isopentenyl-diphosphate .	sp|P58044|IDI1_MOUSE	Isopentenyl-diphosphate Delta-isomerase 1  OS=Mus musculus (Mouse) GN=Idi1 PE=1 SV=1	P58044
Q9CQE1_Protein NipSnap homolog .	sp|Q9CQE1|NPS3B_MOUSE	Protein NipSnap homolog 3B  OS=Mus musculus (Mouse) GN=Nipsnap3b PE=1 SV=1	Q9CQE1
Q99JB2_Stomatin-like protein 2,.	sp|Q99JB2|STML2_MOUSE	Stomatin-like protein 2, mitochondrial  OS=Mus musculus (Mouse) GN=Stoml2 PE=1 SV=1	Q99JB2
P35576_Glucose-6-phosphatase	sp|P35576|G6PC_MOUSE	Glucose-6-phosphatase  OS=Mus musculus (Mouse) GN=G6pc PE=1 SV=2	P35576
P97461_40S ribosomal protein S5	sp|P97461|RS5_MOUSE	40S ribosomal protein S5  OS=Mus musculus (Mouse) GN=Rps5 PE=1 SV=3	P97461
A2ADY9_Protein DDI1 homolog 2	sp|A2ADY9|DDI2_MOUSE	Protein DDI1 homolog 2  OS=Mus musculus (Mouse) GN=Ddi2 PE=1 SV=1	A2ADY9
Q9JK38_Glucosamine 6-phosphate .	sp|Q9JK38|GNA1_MOUSE	Glucosamine 6-phosphate N-acetyltransferase  OS=Mus musculus (Mouse) GN=Gnpnat1 PE=1 SV=1	Q9JK38
Q9QXZ6_Solute carrier organic a.	sp|Q9QXZ6|SO1A1_MOUSE	Solute carrier organic anion transporter family member 1A1  OS=Mus musculus (Mouse) GN=Slco1a1 PE=1 SV=1	Q9QXZ6
Q9QZW0_Phospholipid-transportin.	sp|Q9QZW0|AT11C_MOUSE	Phospholipid-transporting ATPase 11C  OS=Mus musculus (Mouse) GN=Atp11c PE=1 SV=2	Q9QZW0
P23589_Carbonic anhydrase 5A, m.	sp|P23589|CAH5A_MOUSE	Carbonic anhydrase 5A, mitochondrial  OS=Mus musculus (Mouse) GN=Ca5a PE=1 SV=2	P23589
O08677_Kininogen-1	sp|O08677|KNG1_MOUSE	Kininogen-1  OS=Mus musculus (Mouse) GN=Kng1 PE=1 SV=1	O08677
Q9Z1Z2_Serine-threonine kinase .	sp|Q9Z1Z2|STRAP_MOUSE	Serine-threonine kinase receptor-associated protein  OS=Mus musculus (Mouse) GN=Strap PE=1 SV=2	Q9Z1Z2
P32067_Lupus La protein homolog	sp|P32067|LA_MOUSE	Lupus La protein homolog  OS=Mus musculus (Mouse) GN=Ssb PE=1 SV=1	P32067
P01837_Immunoglobulin kappa con.	sp|P01837|IGKC_MOUSE	Immunoglobulin kappa constant  OS=Mus musculus (Mouse) GN=Igkc PE=1 SV=2	P01837
Q61990_Poly(rC)-binding protein.	sp|Q61990|PCBP2_MOUSE	Poly(rC)-binding protein 2  OS=Mus musculus (Mouse) GN=Pcbp2 PE=1 SV=1	Q61990
P51855_Glutathione synthetase	sp|P51855|GSHB_MOUSE	Glutathione synthetase  OS=Mus musculus (Mouse) GN=Gss PE=1 SV=1	P51855
Q80UM7_Mannosyl-oligosaccharide.	sp|Q80UM7|MOGS_MOUSE	Mannosyl-oligosaccharide glucosidase  OS=Mus musculus (Mouse) GN=Mogs PE=1 SV=1	Q80UM7
Q9JKR6_Hypoxia up-regulated pro.	sp|Q9JKR6|HYOU1_MOUSE	Hypoxia up-regulated protein 1  OS=Mus musculus (Mouse) GN=Hyou1 PE=1 SV=1	Q9JKR6
Q91VM9_Inorganic pyrophosphatas.	sp|Q91VM9|IPYR2_MOUSE	Inorganic pyrophosphatase 2, mitochondrial  OS=Mus musculus (Mouse) GN=Ppa2 PE=1 SV=1	Q91VM9
E9Q4Z2_Acetyl-CoA carboxylase 2	sp|E9Q4Z2|ACACB_MOUSE	Acetyl-CoA carboxylase 2  OS=Mus musculus (Mouse) GN=Acacb PE=1 SV=1	E9Q4Z2
E9PVA8_eIF-2-alpha kinase activ.	sp|E9PVA8|GCN1_MOUSE	eIF-2-alpha kinase activator GCN1  OS=Mus musculus (Mouse) GN=Gcn1 PE=1 SV=1	E9PVA8
Q2TPA8_Hydroxysteroid dehydroge.	sp|Q2TPA8|HSDL2_MOUSE	Hydroxysteroid dehydrogenase-like protein 2  OS=Mus musculus (Mouse) GN=Hsdl2 PE=1 SV=1	Q2TPA8
O54950_5'-AMP-activated protein.	sp|O54950|AAKG1_MOUSE	5'-AMP-activated protein kinase subunit gamma-1  OS=Mus musculus (Mouse) GN=Prkag1 PE=1 SV=2	O54950
Q9CQM9_Glutaredoxin-3	sp|Q9CQM9|GLRX3_MOUSE	Glutaredoxin-3  OS=Mus musculus (Mouse) GN=Glrx3 PE=1 SV=1	Q9CQM9
Q7M6Y3_Phosphatidylinositol-bin.	sp|Q7M6Y3|PICAL_MOUSE	Phosphatidylinositol-binding clathrin assembly protein  OS=Mus musculus (Mouse) GN=Picalm PE=1 SV=1	Q7M6Y3
P42669_Transcriptional activato.	sp|P42669|PURA_MOUSE	Transcriptional activator protein Pur-alpha  OS=Mus musculus (Mouse) GN=Pura PE=1 SV=1	P42669
P62751_60S ribosomal protein L2.	sp|P62751|RL23A_MOUSE	60S ribosomal protein L23a  OS=Mus musculus (Mouse) GN=Rpl23a PE=1 SV=1	P62751
Q3THS6_S-adenosylmethionine syn.	sp|Q3THS6|METK2_MOUSE	S-adenosylmethionine synthase isoform type-2  OS=Mus musculus (Mouse) GN=Mat2a PE=1 SV=2	Q3THS6
Q8BWU8_Ethanolamine-phosphate p.	sp|Q8BWU8|AT2L1_MOUSE	Ethanolamine-phosphate phospho-lyase  OS=Mus musculus (Mouse) GN=Etnppl PE=2 SV=1	Q8BWU8
P62082_40S ribosomal protein S7	sp|P62082|RS7_MOUSE	40S ribosomal protein S7  OS=Mus musculus (Mouse) GN=Rps7 PE=2 SV=1	P62082
Q8R059_UDP-glucose 4-epimerase	sp|Q8R059|GALE_MOUSE	UDP-glucose 4-epimerase  OS=Mus musculus (Mouse) GN=Gale PE=1 SV=1	Q8R059
Q9DCS2_Methyltransferase-like 26	sp|Q9DCS2|MTL26_MOUSE	Methyltransferase-like 26  OS=Mus musculus (Mouse) GN=Mettl26 PE=1 SV=1	Q9DCS2
Q8K4H1_Kynurenine formamidase	sp|Q8K4H1|KFA_MOUSE	Kynurenine formamidase  OS=Mus musculus (Mouse) GN=Afmid PE=1 SV=1	Q8K4H1
Q9CR16_Peptidyl-prolyl cis-tran.	sp|Q9CR16|PPID_MOUSE	Peptidyl-prolyl cis-trans isomerase D  OS=Mus musculus (Mouse) GN=Ppid PE=1 SV=3	Q9CR16
Q9Z1Z0_General vesicular transp.	sp|Q9Z1Z0|USO1_MOUSE	General vesicular transport factor p115  OS=Mus musculus (Mouse) GN=Uso1 PE=1 SV=2	Q9Z1Z0
O35658_Complement component 1 Q.	sp|O35658|C1QBP_MOUSE	Complement component 1 Q subcomponent-binding protein, mitochondrial  OS=Mus musculus (Mouse) GN=C1qbp PE=1 SV=1	O35658
Q9DCS9_NADH dehydrogenase [ubiq.	sp|Q9DCS9|NDUBA_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10  OS=Mus musculus (Mouse) GN=Ndufb10 PE=1 SV=3	Q9DCS9
P08228_Superoxide dismutase [Cu.	sp|P08228|SODC_MOUSE	Superoxide dismutase [Cu-Zn]  OS=Mus musculus (Mouse) GN=Sod1 PE=1 SV=2	P08228
A0JNU3_60 kDa lysophospholipase	sp|A0JNU3|LPP60_MOUSE	60 kDa lysophospholipase  OS=Mus musculus (Mouse) GN=Aspg PE=1 SV=1	A0JNU3
P68510_14-3-3 protein eta	sp|P68510|1433F_MOUSE	14-3-3 protein eta  OS=Mus musculus (Mouse) GN=Ywhah PE=1 SV=2	P68510
Q8CIB5_Fermitin family homolog 2	sp|Q8CIB5|FERM2_MOUSE	Fermitin family homolog 2  OS=Mus musculus (Mouse) GN=Fermt2 PE=1 SV=1	Q8CIB5
P60766_Cell division control pr.	sp|P60766|CDC42_MOUSE	Cell division control protein 42 homolog  OS=Mus musculus (Mouse) GN=Cdc42 PE=1 SV=2	P60766
P35278_Ras-related protein Rab-.	sp|P35278|RAB5C_MOUSE	Ras-related protein Rab-5C  OS=Mus musculus (Mouse) GN=Rab5c PE=1 SV=2	P35278
Q9Z2U0_Proteasome subunit alpha.	sp|Q9Z2U0|PSA7_MOUSE	Proteasome subunit alpha type-7  OS=Mus musculus (Mouse) GN=Psma7 PE=1 SV=1	Q9Z2U0
Q07076_Annexin A7	sp|Q07076|ANXA7_MOUSE	Annexin A7  OS=Mus musculus (Mouse) GN=Anxa7 PE=1 SV=2	Q07076
Q64523_Histone H2A type 2-C	sp|Q64523|H2A2C_MOUSE	Histone H2A type 2-C  OS=Mus musculus (Mouse) GN=Hist2h2ac PE=1 SV=3	Q64523
Q9D1M0_Protein SEC13 homolog	sp|Q9D1M0|SEC13_MOUSE	Protein SEC13 homolog  OS=Mus musculus (Mouse) GN=Sec13 PE=1 SV=3	Q9D1M0
